d,o,h,l,c,v,e,zf,hs,zd,zde
1992-03-31,11.0,13.0,11.0,12.9,3485,4383600.0,53.33,1.27,244.0,9.15
1992-04-01,12.9,14.0,12.9,14.0,4250,5950000.0,8.53,1.55,8.53,1.1
1992-04-02,13.85,14.0,13.55,13.85,4145,5740825.0,3.21,1.51,-1.07,-0.15
1992-04-03,14.0,14.0,13.0,13.5,3360,4536000.0,7.22,1.22,-2.53,-0.35
1992-04-06,13.5,13.8,13.15,13.7,3690,5055300.0,4.81,1.34,1.48,0.2
1992-04-07,13.8,14.6,13.8,14.1,4335,6112350.0,5.84,1.58,2.92,0.4
1992-04-08,14.0,14.4,13.7,14.0,2900,4060000.0,4.96,1.05,-0.71,-0.1
1992-04-09,14.15,14.8,14.15,14.35,4100,5883500.0,4.64,1.49,2.5,0.35
1992-04-10,14.5,15.2,14.35,15.0,5750,8625000.0,5.92,2.09,4.53,0.65
1992-04-13,15.0,17.2,15.0,16.8,4690,7879199.5,14.67,1.71,12.0,1.8
1992-04-14,16.95,18.1,16.95,17.35,3900,6766500.0,6.85,1.42,3.27,0.55
1992-04-15,17.5,17.5,15.5,16.0,3210,5136000.0,11.53,1.17,-7.78,-1.35
1992-04-16,15.9,16.6,15.5,16.55,4865,8051574.5,6.88,1.77,3.44,0.55
1992-04-17,16.5,17.0,16.3,16.65,3740,6227100.0,4.23,1.36,0.6,0.1
1992-04-20,16.5,16.7,15.6,15.8,2225,3515500.0,6.61,0.81,-5.11,-0.85
1992-04-21,15.95,16.0,15.0,15.8,3345,5285100.0,6.33,1.22,0.0,0.0
1992-04-22,15.8,16.8,15.0,16.7,4435,7406450.5,11.39,1.61,5.7,0.9
1992-04-23,16.8,17.2,16.65,17.2,5060,8703200.0,3.29,1.84,2.99,0.5
1992-04-24,17.25,17.5,16.9,17.15,4530,7768950.0,3.49,1.65,-0.29,-0.05
1992-04-27,17.3,17.3,16.5,16.75,3145,5267875.0,4.66,1.14,-2.33,-0.4
1992-04-28,16.8,17.0,16.3,16.8,2965,4981200.0,4.18,1.08,0.3,0.05
1992-04-29,16.95,17.2,16.8,16.9,5230,8838700.0,2.38,1.9,0.6,0.1
1992-04-30,17.05,17.8,16.95,17.2,5730,9855600.0,5.03,2.08,1.78,0.3
1992-05-03,17.35,18.0,17.35,17.55,5365,9415575.0,3.78,1.95,2.03,0.35
1992-05-04,17.7,17.9,17.3,17.6,5045,8879200.0,3.42,1.83,0.28,0.05
1992-05-05,17.75,18.6,17.7,18.6,7260,13503600.0,5.11,2.64,5.68,1.0
1992-05-06,18.75,20.0,18.75,19.9,6140,12218600.0,6.72,2.23,6.99,1.3
1992-05-07,19.75,19.75,18.0,18.95,4105,7778975.5,8.79,1.49,-4.77,-0.95
1992-05-08,19.1,19.8,18.2,18.75,4965,9309375.0,8.44,1.81,-1.06,-0.2
1992-05-11,18.6,19.4,18.1,19.35,3615,6995025.0,6.93,1.31,3.2,0.6
1992-05-12,19.5,21.0,19.5,20.9,4925,10293250.0,7.75,1.79,8.01,1.55
1992-05-13,21.05,21.6,20.8,21.1,6655,14042050.0,3.83,2.42,0.96,0.2
1992-05-14,21.25,21.6,20.0,21.45,5945,12752025.0,7.58,2.16,1.66,0.35
1992-05-15,21.6,22.0,21.0,21.65,4430,9590950.0,4.66,1.61,0.93,0.2
1992-05-18,21.8,22.8,21.5,22.65,7610,17236650.0,6.0,2.77,4.62,1.0
1992-05-19,22.8,24.0,22.8,23.9,6925,16550750.0,5.3,2.52,5.52,1.25
1992-05-20,24.0,25.5,23.8,23.8,10695,25454100.0,7.11,3.89,-0.42,-0.1
1992-05-21,23.65,25.5,23.0,25.0,6465,16162500.0,10.5,2.35,5.04,1.2
1992-05-22,25.15,25.8,24.7,25.05,8155,20428274.0,4.4,2.97,0.2,0.05
1992-05-25,25.2,26.0,24.5,25.6,6785,17369600.0,5.99,2.47,2.2,0.55
1992-05-26,25.5,27.2,25.5,26.75,6925,18524376.0,6.64,2.52,4.49,1.15
1992-05-27,26.8,27.5,26.25,26.55,5910,15767100.0,4.67,2.15,-0.75,-0.2
1992-05-28,26.7,26.7,25.0,26.15,5375,14055625.0,6.4,1.95,-1.51,-0.4
1992-05-29,26.0,26.0,25.4,25.5,4700,11985000.0,2.29,1.71,-2.49,-0.65
1992-06-01,25.7,26.6,25.7,26.0,4850,12610000.0,3.53,1.76,1.96,0.5
1992-06-02,25.85,25.85,24.6,24.75,4345,10753875.0,4.81,1.58,-4.81,-1.25
1992-06-03,24.9,24.9,21.6,21.9,4435,10735850.0,13.33,1.61,-11.52,-2.85
1992-06-04,21.75,23.8,21.7,23.45,7055,16543976.0,9.59,2.57,7.08,1.55
1992-06-05,23.6,24.5,22.2,23.55,7965,18757574.0,9.81,2.9,0.43,0.1
1992-06-08,23.7,24.2,22.85,23.8,7255,17266900.0,5.73,2.64,1.06,0.25
1992-06-09,23.95,23.95,20.95,21.5,2985,6417750.0,12.61,1.09,-9.66,-2.3
1992-06-10,21.65,22.4,20.6,22.0,4525,9955000.0,8.37,1.65,2.33,0.5
1992-06-11,22.15,22.5,21.4,21.5,4295,9234250.0,5.0,1.56,-2.27,-0.5
1992-06-12,21.65,22.0,21.0,22.0,3785,8327000.0,4.65,1.38,2.33,0.5
1992-06-15,22.0,22.0,20.0,20.0,2275,4550000.0,9.09,0.83,-9.09,-2.0
1992-06-16,19.85,20.2,18.5,18.8,3670,6899599.5,8.5,1.33,-6.0,-1.2
1992-06-17,18.65,21.6,18.0,21.6,4685,10119600.0,19.15,1.7,14.89,2.8
1992-06-18,21.6,22.8,20.0,20.8,4665,9703200.0,12.96,1.7,-3.7,-0.8
1992-06-19,20.65,21.0,19.6,20.8,3835,7976799.5,6.73,1.39,0.0,0.0
