d,o,h,l,c,v,e,zf,hs,zd,zde
1991-04-06,49.0,49.0,48.28,48.28,13,64000.0,1.8,0.0,20.7,8.28
1991-04-13,48.04,48.04,46.84,46.84,34,161000.0,2.49,0.01,-2.98,-1.44
1991-04-20,46.38,46.38,45.46,45.46,14,63615.0,1.96,0.0,-2.95,-1.38
1991-04-26,45.0,45.0,44.34,44.34,67,300000.0,1.45,0.02,-2.46,-1.12
1991-05-04,43.9,43.9,43.02,43.02,13,57000.0,1.98,0.0,-2.98,-1.32
1991-05-11,43.02,43.02,41.75,41.75,161,681038.0,2.95,0.04,-2.95,-1.27
1991-05-18,41.54,41.54,40.51,40.51,1483,6066000.0,2.47,0.4,-2.97,-1.24
1991-05-24,40.31,40.31,39.51,39.51,177,708000.0,1.97,0.05,-2.47,-1.0
1991-06-01,39.11,39.11,38.34,38.53,69,266000.0,1.95,0.02,-2.48,-0.98
1991-06-08,37.96,37.96,37.01,37.01,19,70497.0,2.47,0.01,-3.94,-1.52
1991-06-15,36.82,36.82,35.92,35.92,110,399000.0,2.43,0.03,-2.95,-1.09
1991-06-22,35.74,35.74,34.84,34.84,120,423000.0,2.51,0.03,-3.01,-1.08
1991-06-28,34.67,34.67,33.99,33.99,47,163000.0,1.95,0.01,-2.44,-0.85
1991-07-06,33.65,33.65,32.81,32.81,18,59594.0,2.47,0.0,-3.47,-1.18
1991-07-11,32.65,32.65,32.17,32.17,16,51217.0,1.46,0.0,-1.95,-0.64
1991-07-20,31.69,31.69,30.89,30.89,7,22000.0,2.49,0.0,-3.98,-1.28
1991-07-26,30.44,30.44,30.14,30.14,5,15000.0,0.97,0.0,-2.43,-0.75
1991-08-02,29.84,29.84,29.24,29.24,23,68000.0,1.99,0.01,-2.99,-0.9
1991-08-17,15.0,15.8,14.75,15.8,328,499000.0,3.59,0.07,-45.96,-13.44
1991-08-24,16.0,16.3,14.3,15.6,19052,29288000.0,12.66,3.95,-1.27,-0.2
1991-08-31,15.6,15.6,14.85,15.0,13043,19764000.0,4.81,2.7,-3.85,-0.6
1991-09-07,15.0,15.0,13.4,13.85,18542,26584000.0,10.67,3.84,-7.67,-1.15
1991-09-14,13.7,14.5,13.7,14.45,29672,41892000.0,5.78,6.15,4.33,0.6
1991-09-21,14.3,14.35,14.0,14.1,15662,22105000.0,2.42,3.25,-2.42,-0.35
1991-09-29,14.05,14.65,14.05,14.6,9459,13481000.0,4.26,1.96,3.55,0.5
1991-10-05,14.65,16.1,14.65,15.9,7828,12177000.0,9.93,1.62,8.9,1.3
1991-10-12,16.0,27.85,16.0,24.3,35086,78125000.0,74.53,7.27,52.83,8.4
1991-10-19,24.4,25.1,22.1,24.0,24880,59690000.0,12.35,5.16,-1.23,-0.3
1991-10-26,24.0,24.4,23.25,23.95,20426,48739000.0,4.79,4.24,-0.21,-0.05
1991-11-02,24.0,29.5,23.95,28.9,26710,70954000.0,23.17,5.54,20.67,4.95
1991-11-09,29.0,32.6,28.95,32.3,40817,125953000.0,12.63,8.46,11.76,3.4
1991-11-16,32.5,37.2,32.5,34.5,28685,103444905.0,14.55,5.95,6.81,2.2
1991-11-23,34.85,34.85,29.0,31.7,23729,75881000.0,16.96,4.92,-8.12,-2.8
1991-11-30,31.95,31.95,27.4,27.5,19399,56716000.0,14.35,4.02,-13.25,-4.2
1991-12-07,27.6,28.55,26.8,27.9,12540,34490000.0,6.36,2.6,1.45,0.4
1991-12-14,28.0,28.8,27.1,27.5,8233,23077000.0,6.09,1.71,-1.43,-0.4
1991-12-21,27.4,27.8,27.4,27.6,5520,15231550.0,1.45,1.14,0.36,0.1
